weights,d,p,rounds,n_test,p_L,mwpm_p_L,ratio,base_rate,both_right,rcnn_only,mwpm_only,both_wrong,n_discordant,net_rcnn_wins,mcnemar_chi2_cc,p_chi2,p_exact
rcnn_d5_p0.010_r3_seed0_ntr10000000.weights.h5,5,0.01,3,200000,0.04553,0.049405,0.9216,0.2826,187186,3708,2933,6173,6641,775,90.209,2.1431722896889104e-21,1.934117958261221e-21
rcnn_d5_p0.010_r3_seed1_ntr10000000.weights.h5,5,0.01,3,200000,0.046395,0.049405,0.9391,0.2826,187097,3624,3022,6257,6646,602,54.349,1.6789494507888853e-13,1.6177640222248947e-13
rcnn_d5_p0.010_r3_seed2_ntr10000000.weights.h5,5,0.01,3,200000,0.04651,0.049405,0.9414,0.2826,187064,3634,3055,6247,6689,579,49.945,1.5809365018208987e-12,1.5324711976285567e-12
rcnn_d5_p0.010_r3_seed0_ntr10000000.weights.h5,5,0.01,3,200000,0.04553,0.049405,0.9216,0.2826,187186,3708,2933,6173,6641,775,90.209,2.1431722896889104e-21,1.934117958261221e-21
rcnn_d5_p0.010_r3_seed1_ntr10000000.weights.h5,5,0.01,3,200000,0.046395,0.049405,0.9391,0.2826,187097,3624,3022,6257,6646,602,54.349,1.6789494507888853e-13,1.6177640222248947e-13
rcnn_d5_p0.010_r3_seed2_ntr10000000.weights.h5,5,0.01,3,200000,0.04651,0.049405,0.9414,0.2826,187064,3634,3055,6247,6689,579,49.945,1.5809365018208987e-12,1.5324711976285567e-12
