architecture,target_fraction,actual_params,n_seeds,seeds,mean_p_L,sd_p_L_ddof1,min_p_L,max_p_L,mwpm_p_L,mean_xMWPM,complete
gru,0.1,6920,3,0 1 2,0.1124,0.0030315507582753753,0.10899,0.11479,0.0842,1.334916864608076,YES
gru,0.25,17153,3,0 1 2,0.09251333333333334,0.001900035087395317,0.09062,0.09442,0.0842,1.0987331749802058,YES
gru,0.5,34945,3,0 1 2,0.08809666666666667,0.003908226366695427,0.08366,0.09103,0.0842,1.0462787015043549,YES
gru,1.0,69441,3,0 1 2,0.08049666666666666,0.0012611634839834746,0.07915,0.08165,0.0842,0.9560174188440221,YES
mlp,0.1,6931,3,0 1 2,0.15601333333333334,0.006943747787278372,0.14829,0.16174,0.0842,1.8528899445764055,YES
mlp,0.25,17389,3,0 1 2,0.12213666666666667,0.0018170397170489503,0.12009,0.12356,0.0842,1.45055423594616,YES
mlp,0.5,34831,3,0 1 2,0.10613333333333334,0.0007270717525343207,0.10544,0.10689,0.0842,1.2604908946951703,YES
mlp,1.0,69389,3,0 1 2,0.09691,0.0017840403582878922,0.09485,0.09795,0.0842,1.1509501187648457,YES
rcnn,1.0,69485,3,0 1 2,0.08275666666666666,0.0017215206456308743,0.08136,0.08468,0.0842,0.9828582739509105,YES
