comparison,architecture,target_fraction,actual_params,seed,b_model_only_correct,c_other_only_correct,n_discordant,both_right,both_wrong,net_model_wins,chi2_cc,p_chi2,p_exact,note
rung_vs_100pct_same_seed,gru,0.1,6920,0,2509,5493,8002,86592,5406,-2984,1112.0081229692578,8.109621548835394e-244,9.552032865987436e-250,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed0_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.1,6920,1,2691,5868,8559,85967,5474,-3177,1178.5227246173617,2.8375616268194867e-258,1.6999187651616221e-264,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed1_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.1,6920,2,2724,6134,8858,85797,5345,-3410,1311.9531496951909,2.8552476555297225e-287,9.336307549440819e-295,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed2_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.25,17153,0,2376,3903,6279,88182,5539,-1527,370.86733556298776,1.2115709727081706e-82,1.8674401759960143e-83,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed0_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.25,17153,1,2504,3589,6093,88246,5661,-1085,192.85343837190217,7.577236617476858e-44,4.52655333707519e-44,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed1_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.25,17153,2,2467,3460,5927,88471,5602,-993,166.03070693436814,5.447013416182882e-38,3.6807661572727177e-38,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed2_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.5,34945,0,2313,2764,5077,89321,5602,-451,39.88575930667717,2.6925918753636375e-10,2.623094394941246e-10,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed0_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.5,34945,1,2429,3367,5796,88468,5736,-938,151.47843340234644,8.237958292199412e-35,5.902583075932267e-35,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed1_ntr10000000.json
rung_vs_100pct_same_seed,gru,0.5,34945,2,2392,3283,5675,88648,5677,-891,139.5770925110132,3.293781623816152e-32,2.467368012794273e-32,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_gru_frac1.0_p69441_seed2_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.1,6931,0,3539,9918,13457,80287,6256,-6379,3022.8790963810657,0.0,0.0,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed0_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.1,6931,1,3384,8728,12112,81787,6101,-5344,2356.9723414795244,0.0,0.0,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed1_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.1,6931,2,3651,9659,13310,80548,6142,-6008,2711.0480090157776,0.0,0.0,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed2_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.25,17389,0,3319,5800,9119,84405,6476,-2481,674.4599188507511,1.0708038714091544e-148,1.474734178794179e-150,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed0_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.25,17389,1,3281,5805,9086,84710,6204,-2524,700.5865067136253,2.2292793429853546e-154,2.1390954703441408e-156,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed1_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.25,17389,2,3487,6050,9537,84157,6306,-2563,688.2503932054105,1.073406256902091e-151,1.510853526802524e-153,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed2_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.5,34831,0,3303,4052,7355,86153,6492,-749,76.07124405166553,2.7361283657320467e-18,2.5618713173260924e-18,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed0_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.5,34831,1,3118,4322,7440,86193,6367,-1204,194.51733870967743,3.2836192972829836e-44,2.1397374608486962e-44,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed1_ntr10000000.json
rung_vs_100pct_same_seed,mlp,0.5,34831,2,3427,4241,7668,85966,6366,-814,86.19835680751174,1.627628509340467e-20,1.500865110380078e-20,b = this rung correct where the 100% rung was wrong; c = the reverse. Reference: valreport_pr5_mlp_frac1.0_p69389_seed2_ntr10000000.json
