architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,1,2000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.06169,,,0.28042,1,0.046265,0.95793,0.80592,0.99516,39345,0.19673,0.26801,0.20793,0.05-0.95,0.15271,59.2,2026-08-04T02:31:46Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,2000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.062105,,,0.28042,1,0.046265,0.9575,0.80953,0.99374,39345,0.19673,0.26471,0.20793,0.05-0.95,0.15621,59.9,2026-08-04T02:32:56Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.12486,,,0.28042,1,0.046265,0.88665,0.67266,0.93905,39345,0.19673,0.36711,0.20793,0.05-0.95,0.27137,12.0,2026-08-04T02:27:33Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,300000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.124895,,,0.28042,1,0.046265,0.88685,0.67348,0.93911,39345,0.19673,0.36798,0.20793,0.05-0.95,0.27331,12.3,2026-08-04T02:27:56Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,300000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.12348,,,0.28042,1,0.046265,0.88782,0.67205,0.94067,39345,0.19673,0.36706,0.20793,0.05-0.95,0.26893,12.0,2026-08-04T02:28:18Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,5000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.052135,,,0.28042,1,0.046265,0.97012,0.85358,0.99866,39345,0.19673,0.23302,0.20793,0.05-0.95,0.13723,143.6,2026-08-04T02:34:12Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,5000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.052835,,,0.28042,1,0.046265,0.9698,0.85254,0.99852,39345,0.19673,0.23614,0.20793,0.05-0.95,0.13792,144.6,2026-08-04T02:36:52Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,5000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.052945,,,0.28042,1,0.046265,0.96915,0.8488,0.99862,39345,0.19673,0.23668,0.20793,0.05-0.95,0.13853,143.8,2026-08-04T02:39:32Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,800000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.08551,,,0.28042,1,0.046265,0.92946,0.73544,0.97697,39345,0.19673,0.31852,0.20793,0.05-0.95,0.19952,26.2,2026-08-04T02:28:41Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,800000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.08892,,,0.28042,1,0.046265,0.92634,0.7328,0.97374,39345,0.19673,0.32273,0.20793,0.05-0.95,0.20425,26.5,2026-08-04T02:29:18Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,800000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.08107,,,0.28042,1,0.046265,0.93334,0.74131,0.98036,39345,0.19673,0.30939,0.20793,0.05-0.95,0.19156,26.9,2026-08-04T02:29:55Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051645,,,0.28042,1,0.046265,0.96733,0.841,0.99827,39345,0.19673,0.22923,0.20793,0.05-0.95,0.12958,291.3,2026-08-03T19:07:32Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051785,,,0.28042,1,0.046265,0.96721,0.84046,0.99825,39345,0.19673,0.23022,0.20793,0.05-0.95,0.12927,288.1,2026-08-03T19:12:42Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051265,,,0.28042,1,0.046265,0.96734,0.84067,0.99836,39345,0.19673,0.22742,0.20793,0.05-0.95,0.12858,286.3,2026-08-03T19:17:50Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,100000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.174705,,,0.28042,1,0.046265,0.83343,0.62714,0.88395,39345,0.19673,0.40048,0.20793,0.05-0.95,0.3647,6.3,2026-08-04T02:01:57Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,100000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.174425,,,0.28042,1,0.046265,0.83386,0.62768,0.88435,39345,0.19673,0.40097,0.20793,0.05-0.95,0.36213,6.1,2026-08-04T02:02:13Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,100000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.17218,,,0.28042,1,0.046265,0.83573,0.62803,0.88659,39345,0.19673,0.39929,0.20793,0.05-0.95,0.36146,6.4,2026-08-04T02:02:29Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.04855,,,0.28042,1,0.046265,0.97183,0.86011,0.99918,39345,0.19673,0.21703,0.20793,0.05-0.95,0.12159,573.7,2026-08-03T19:23:17Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.048065,,,0.28042,1,0.046265,0.97135,0.85749,0.99923,39345,0.19673,0.21482,0.20793,0.05-0.95,0.12151,574.1,2026-08-03T19:33:27Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.048775,,,0.28042,1,0.046265,0.97072,0.85528,0.99899,39345,0.19673,0.21728,0.20793,0.05-0.95,0.12254,569.0,2026-08-03T19:43:38Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
