architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
mlp_student,mlp,evts,5,0.01,3,0,100000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.15925,0.04875,3.2667,0.28042,1,0.046265,0.84976,0.62877,0.90387,39345,0.19673,0.4018,0.20793,0.05-0.95,0.34376,4.1,2026-08-02T03:59:03Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.09267,0.04875,1.9009,0.28042,1,0.046265,0.9208,0.70728,0.9731,39345,0.19673,0.3392,0.20793,0.05-0.95,0.21366,6.5,2026-08-02T03:59:16Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,100000,200000,1.0,1.0,0.003,,,25985,50,50,10000,0.169915,0.04875,3.4854,0.28042,1,0.046265,0.83865,0.62224,0.89165,39345,0.19673,0.40757,0.20793,0.05-0.95,0.36903,4.3,2026-08-02T03:58:34Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,300000,200000,1.0,1.0,0.003,,,25985,50,50,10000,0.11104,0.04875,2.2777,0.28042,1,0.046265,0.90077,0.67437,0.95622,39345,0.19673,0.36617,0.20793,0.05-0.95,0.25076,6.4,2026-08-02T03:58:48Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
