architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,2,300000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.13233,0.04875,2.7145,0.28042,1,0.046265,0.87782,0.66108,0.93091,39345,0.19673,0.37296,0.20793,0.05-0.95,0.28535,9.1,2026-08-02T04:58:19Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,5000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.056665,0.04875,1.1624,0.28042,1,0.046265,0.96355,0.82722,0.99694,39345,0.19673,0.24946,0.20793,0.05-0.95,0.14739,98.3,2026-08-02T05:02:53Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,5000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.060195,0.04875,1.2348,0.28042,1,0.046265,0.9598,0.81156,0.9961,39345,0.19673,0.26374,0.20793,0.05-0.95,0.15197,97.0,2026-08-02T05:04:46Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,5000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.059,0.04875,1.2103,0.28042,1,0.046265,0.96184,0.81896,0.99684,39345,0.19673,0.26123,0.20793,0.05-0.95,0.14913,98.7,2026-08-02T05:06:37Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,800000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.09923,0.04875,2.0355,0.28042,1,0.046265,0.91385,0.7053,0.96493,39345,0.19673,0.34037,0.20793,0.05-0.95,0.22396,18.9,2026-08-02T04:58:39Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,800000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.10584,0.04875,2.1711,0.28042,1,0.046265,0.90665,0.69475,0.95854,39345,0.19673,0.34909,0.20793,0.05-0.95,0.2357,19.3,2026-08-02T04:59:08Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,800000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.101535,0.04875,2.0828,0.28042,1,0.046265,0.91111,0.69966,0.9629,39345,0.19673,0.34469,0.20793,0.05-0.95,0.22799,20.4,2026-08-02T04:59:37Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,10000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.055835,0.04875,1.1453,0.28042,1,0.046265,0.96326,0.82341,0.99751,39345,0.19673,0.24748,0.20793,0.05-0.95,0.13696,195.9,2026-08-02T04:31:15Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,10000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.05493,0.04875,1.1268,0.28042,1,0.046265,0.96449,0.82875,0.99773,39345,0.19673,0.24367,0.20793,0.05-0.95,0.13569,197.4,2026-08-02T04:34:54Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,10000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.057985,0.04875,1.1894,0.28042,1,0.046265,0.96037,0.8138,0.99627,39345,0.19673,0.25373,0.20793,0.05-0.95,0.14098,198.3,2026-08-02T04:38:34Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
