architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049655,,,0.28042,1,0.046265,0.97359,0.86819,0.9994,39345,0.19673,0.22313,0.20793,0.05-0.95,0.13205,289.2,2026-08-03T20:13:25Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049465,,,0.28042,1,0.046265,0.97465,0.87338,0.99945,39345,0.19673,0.22221,0.20793,0.05-0.95,0.13112,284.5,2026-08-03T20:18:36Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049695,,,0.28042,1,0.046265,0.97378,0.86974,0.99926,39345,0.19673,0.22259,0.20793,0.05-0.95,0.13206,286.7,2026-08-03T20:23:41Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048625,,,0.28042,1,0.046265,0.97615,0.87993,0.99971,39345,0.19673,0.21896,0.20793,0.05-0.95,0.12866,566.8,2026-08-03T20:29:02Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048065,,,0.28042,1,0.046265,0.97692,0.88362,0.99977,39345,0.19673,0.21629,0.20793,0.05-0.95,0.12802,571.4,2026-08-03T20:39:05Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048685,,,0.28042,1,0.046265,0.97581,0.87846,0.99965,39345,0.19673,0.21891,0.20793,0.05-0.95,0.12911,572.5,2026-08-03T20:49:13Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051645,,,0.28042,1,0.046265,0.96733,0.841,0.99827,39345,0.19673,0.22923,0.20793,0.05-0.95,0.12958,291.3,2026-08-03T19:07:32Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051785,,,0.28042,1,0.046265,0.96721,0.84046,0.99825,39345,0.19673,0.23022,0.20793,0.05-0.95,0.12927,288.1,2026-08-03T19:12:42Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,10000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.051265,,,0.28042,1,0.046265,0.96734,0.84067,0.99836,39345,0.19673,0.22742,0.20793,0.05-0.95,0.12858,286.3,2026-08-03T19:17:50Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.04855,,,0.28042,1,0.046265,0.97183,0.86011,0.99918,39345,0.19673,0.21703,0.20793,0.05-0.95,0.12159,573.7,2026-08-03T19:23:17Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.048065,,,0.28042,1,0.046265,0.97135,0.85749,0.99923,39345,0.19673,0.21482,0.20793,0.05-0.95,0.12151,574.1,2026-08-03T19:33:27Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,20000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.048775,,,0.28042,1,0.046265,0.97072,0.85528,0.99899,39345,0.19673,0.21728,0.20793,0.05-0.95,0.12254,569.0,2026-08-03T19:43:38Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.049415,,,0.28042,1,0.046265,0.97466,0.87325,0.9995,39345,0.19673,0.22229,0.20793,0.05-0.95,0.13141,125.9,2026-08-03T19:53:40Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
