architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,5,2,2000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.099235,,,0.35539,1,0.081585,0.93107,0.81314,0.99325,69048,0.34524,0.25697,0.21746,0.05-0.95,0.24559,118.1,2026-08-06T14:09:11Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,300000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.18723,,,0.35539,1,0.081585,0.8301,0.67185,0.91353,69048,0.34524,0.36643,0.21746,0.05-0.95,0.38779,26.1,2026-08-06T13:57:17Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,300000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.18775,,,0.35539,1,0.081585,0.82952,0.66966,0.91382,69048,0.34524,0.36893,0.21746,0.05-0.95,0.38905,25.7,2026-08-06T13:58:10Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,300000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.18953,,,0.35539,1,0.081585,0.82722,0.67,0.91013,69048,0.34524,0.36724,0.21746,0.05-0.95,0.39256,25.8,2026-08-06T13:59:04Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,5000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08832,,,0.35539,1,0.081585,0.94507,0.84532,0.99766,69048,0.34524,0.23313,0.21746,0.05-0.95,0.22869,272.0,2026-08-06T14:11:50Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,5000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08881,,,0.35539,1,0.081585,0.9451,0.84472,0.99804,69048,0.34524,0.23521,0.21746,0.05-0.95,0.22948,274.1,2026-08-06T14:17:03Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,5000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08681,,,0.35539,1,0.081585,0.9471,0.84999,0.99831,69048,0.34524,0.23,0.21746,0.05-0.95,0.22728,273.5,2026-08-06T14:22:21Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,800000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.13241,,,0.35539,1,0.081585,0.88992,0.73907,0.96947,69048,0.34524,0.31025,0.21746,0.05-0.95,0.3006,52.2,2026-08-06T13:59:59Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,800000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.13094,,,0.35539,1,0.081585,0.89211,0.74448,0.96996,69048,0.34524,0.30669,0.21746,0.05-0.95,0.29554,52.1,2026-08-06T14:01:22Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,800000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.13578,,,0.35539,1,0.081585,0.88596,0.73423,0.96596,69048,0.34524,0.31427,0.21746,0.05-0.95,0.30358,53.8,2026-08-06T14:02:44Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
