act_bits,seed,weight_bits,n_test,p_L,control_p_L,delta_vs_control,mwpm_p_L,ratio_vs_mwpm,ctrl_both_right,ctrl_q_only,ctrl_ctrl_only,ctrl_both_wrong,ctrl_n_discordant,ctrl_p_exact,mwpm_both_right,mwpm_q_only,mwpm_mwpm_only,mwpm_both_wrong,mwpm_n_discordant,mwpm_p_exact
6,0,6,200000,0.04989,0.04659,0.0033,0.049405,1.0098,187615,2407,3067,6911,5474,4.760296528953459e-19,186385,3637,3734,6244,7371,0.26349283382051386
6,1,6,200000,0.047995,0.04731,0.000685,0.049405,0.9715,187950,2451,2588,7011,5039,0.05537048212131207,186751,3650,3368,6231,7018,0.0007945366784745247
6,2,6,200000,0.047845,0.046565,0.00128,0.049405,0.9684,188051,2380,2636,6933,5016,0.00031674607091460515,186759,3672,3360,6209,7032,0.00020787033692226488
