weights,d,p,rounds,n_test,p_L,mwpm_p_L,ratio,base_rate,both_right,rcnn_only,mwpm_only,both_wrong,n_discordant,net_rcnn_wins,mcnemar_chi2_cc,p_chi2,p_exact
rcnn_d5_p0.010_r3_w6_seed1_ntr10000000.weights.h5,5,0.01,3,200000,0.047715,0.049405,0.9658,0.2826,186832,3625,3287,6256,6912,338,16.431,5.046131260088004e-05,5.029868430285452e-05
rcnn_d5_p0.010_r3_w6_seed2_ntr10000000.weights.h5,5,0.01,3,200000,0.04558,0.049405,0.9226,0.2826,187188,3696,2931,6185,6627,765,88.078,6.290874811539437e-21,5.7033921946935935e-21
rcnn_d5_p0.010_r3_w6_seed0_ntr10000000.weights.h5,5,0.01,3,200000,0.046675,0.049405,0.9447,0.2826,187046,3619,3073,6262,6692,546,44.385,2.697340746672358e-11,2.6318932003627197e-11
rcnn_d5_p0.010_r3_w6_seed0_ntr10000000.weights.h5,5,0.01,3,200000,0.046675,0.049405,0.9447,0.2826,187046,3619,3073,6262,6692,546,44.385,2.697340746672358e-11,2.6318932003627197e-11
