weights,d,p,rounds,n_test,p_L,mwpm_p_L,ratio,base_rate,both_right,rcnn_only,mwpm_only,both_wrong,n_discordant,net_rcnn_wins,mcnemar_chi2_cc,p_chi2,p_exact
rcnn_d5_p0.010_r3_seed0_ntr20000000.weights.h5,5,0.01,3,200000,0.04591,0.04909,0.9352,0.28176,187215,3603,2967,6215,6570,636,61.374,4.720820660220543e-15,4.499932674225429e-15
rcnn_d5_p0.010_r3_seed1_ntr20000000.weights.h5,5,0.01,3,200000,0.052455,0.04909,1.0685,0.28176,185860,3649,4322,6169,7971,-673,56.653,5.1981732951099e-14,5.026309590726176e-14
rcnn_d5_p0.010_r3_seed2_ntr20000000.weights.h5,5,0.01,3,200000,0.04458,0.04909,0.9081,0.28176,187392,3692,2790,6126,6482,902,125.239,4.5113344997609693e-29,3.68182887749333e-29
