weights,d,p,rounds,n_test,p_L,mwpm_p_L,ratio,base_rate,both_right,rcnn_only,mwpm_only,both_wrong,n_discordant,net_rcnn_wins,mcnemar_chi2_cc,p_chi2,p_exact
rcnn_d5_p0.010_r3_seed0_ntr10000000.weights.h5,5,0.01,3,200000,0.04562,0.04875,0.9358,0.28042,187296,3580,2954,6170,6534,626,59.783,1.0589057797333352e-14,1.0115884269126657e-14
rcnn_d5_p0.010_r3_seed1_ntr10000000.weights.h5,5,0.01,3,200000,0.046265,0.04875,0.949,0.28042,187219,3528,3031,6222,6559,497,37.508,9.103149672992205e-10,8.941826049006085e-10
